PMID	row_count	min_ensure_id	max_ensure_id	year	journal	title	doi	pmcid	status	pubmed_url	doi_url	pmc_html	pmc_xml	pmc_pdf	supplementary_downloaded	supplementary_attempted	missing_pdbid	missing_origin_secondary_structure	missing_sup_secondary_structure	missing_origin_sequence	missing_sup_sequence	manual_reasons
35532803	3			2022	ACS chemical biology	Enhanced Codon-Anticodon Interaction at In-Frame UAG Stop Codon Improves the Efficiency of Non-Natural Amino Acid Mutagenesis.	10.1021/acschembio.1c00782		manual_required	https://pubmed.ncbi.nlm.nih.gov/35532803/	https://doi.org/10.1021/acschembio.1c00782				0	0	0	0	0	0	0	No PMCID in PubMed metadata; full text and supplements may require publisher access. | DOI landing page download failed: HTTP 403: Forbidden
37258671	40			2023	Nature	Engineered tRNAs suppress nonsense mutations in cells and in vivo.	10.1038/s41586-023-06133-1	PMC10284701	pmc_downloaded	https://pubmed.ncbi.nlm.nih.gov/37258671/	https://doi.org/10.1038/s41586-023-06133-1	field-curation-workdir/full_tRNAtherapeutics/papers/37258671/37258671_PMC10284701.html	field-curation-workdir/full_tRNAtherapeutics/papers/37258671/37258671_PMC10284701.xml		8	8	0	0	0	0	0
38042487	6			2024	The Journal of biological chemistry	A facile approach for incorporating tyrosine esters to probe ion-binding sites and backbone hydrogen bonds.	10.1016/j.jbc.2023.105517	PMC10790091	pmc_downloaded	https://pubmed.ncbi.nlm.nih.gov/38042487/	https://doi.org/10.1016/j.jbc.2023.105517	field-curation-workdir/full_tRNAtherapeutics/papers/38042487/38042487_PMC10790091.html	field-curation-workdir/full_tRNAtherapeutics/papers/38042487/38042487_PMC10790091.xml		1	1	0	0	0	0	0
38580646	69			2024	Nature communications	Translation velocity determines the efficacy of engineered suppressor tRNAs on pathogenic nonsense mutations.	10.1038/s41467-024-47258-9	PMC10997658	pmc_downloaded	https://pubmed.ncbi.nlm.nih.gov/38580646/	https://doi.org/10.1038/s41467-024-47258-9	field-curation-workdir/full_tRNAtherapeutics/papers/38580646/38580646_PMC10997658.html	field-curation-workdir/full_tRNAtherapeutics/papers/38580646/38580646_PMC10997658.xml		4	4	0	0	0	0	0
38777090	21			2024	New biotechnology	A gradient phage-assisted continuous evolution method for screening suppressor tRNAs in Escherichia coli.	10.1016/j.nbt.2024.05.005		doi_landing_only	https://pubmed.ncbi.nlm.nih.gov/38777090/	https://doi.org/10.1016/j.nbt.2024.05.005				0	0	0	0	0	0	0	No PMCID in PubMed metadata; full text and supplements may require publisher access.
39558163	25			2024	Nucleic acids research	Efficient suppression of premature termination codons with alanine by engineered chimeric pyrrolysine tRNAs.	10.1093/nar/gkae1048	PMC11662663	pmc_downloaded	https://pubmed.ncbi.nlm.nih.gov/39558163/	https://doi.org/10.1093/nar/gkae1048	field-curation-workdir/full_tRNAtherapeutics/papers/39558163/39558163_PMC11662663.html	field-curation-workdir/full_tRNAtherapeutics/papers/39558163/39558163_PMC11662663.xml		1	1	0	0	0	0	0	DOI landing page download failed: HTTP 403: Forbidden
40491751	6			2025	Genes & diseases	MyoAAV-delivered sup-tRNA increases full-length dystrophin expression.	10.1016/j.gendis.2025.101666	PMC12148385	pmc_downloaded	https://pubmed.ncbi.nlm.nih.gov/40491751/	https://doi.org/10.1016/j.gendis.2025.101666	field-curation-workdir/full_tRNAtherapeutics/papers/40491751/40491751_PMC12148385.html	field-curation-workdir/full_tRNAtherapeutics/papers/40491751/40491751_PMC12148385.xml		1	1	0	0	0	0	0
40539513	28			2025	Nucleic acids research	An engineered glutamic acid tRNA for efficient suppression of pathogenic nonsense mutations.	10.1093/nar/gkaf532	PMC12204705	pmc_downloaded	https://pubmed.ncbi.nlm.nih.gov/40539513/	https://doi.org/10.1093/nar/gkaf532	field-curation-workdir/full_tRNAtherapeutics/papers/40539513/40539513_PMC12204705.html	field-curation-workdir/full_tRNAtherapeutics/papers/40539513/40539513_PMC12204705.xml		1	1	0	0	0	0	0	DOI landing page download failed: HTTP 403: Forbidden
40650978	8			2025	Nucleic acids research	ACE-tRNAs are a platform technology for suppressing nonsense mutations that cause cystic fibrosis.	10.1093/nar/gkaf675	PMC12255306	pmc_downloaded	https://pubmed.ncbi.nlm.nih.gov/40650978/	https://doi.org/10.1093/nar/gkaf675	field-curation-workdir/full_tRNAtherapeutics/papers/40650978/40650978_PMC12255306.html	field-curation-workdir/full_tRNAtherapeutics/papers/40650978/40650978_PMC12255306.xml		1	1	0	0	0	0	0	DOI landing page download failed: HTTP 403: Forbidden
41261131	10	1200	1212	2025	Nature	Prime editing-installed suppressor tRNAs for disease-agnostic genome editing.	10.1038/s41586-025-09732-2	PMC12675287	pmc_downloaded	https://pubmed.ncbi.nlm.nih.gov/41261131/	https://doi.org/10.1038/s41586-025-09732-2	field-curation-workdir/full_tRNAtherapeutics/papers/41261131/41261131_PMC12675287.html	field-curation-workdir/full_tRNAtherapeutics/papers/41261131/41261131_PMC12675287.xml		20	20	0	0	0	0	0
