PMID	row_count	min_ensure_id	max_ensure_id	year	journal	title	doi	pmcid	status	pubmed_url	doi_url	pmc_html	pmc_xml	pmc_pdf	supplementary_downloaded	supplementary_attempted	missing_pdbid	missing_origin_secondary_structure	missing_sup_secondary_structure	missing_origin_sequence	missing_sup_sequence	manual_reasons
8416930	1			1993	The Journal of biological chemistry	Identity of Saccharomyces cerevisiae tRNA(Trp) is not changed by an anticodon mutation that creates an amber suppressor.			manual_required	https://pubmed.ncbi.nlm.nih.gov/8416930/					0	0	0	0	0	0	0	No PMCID in PubMed metadata; full text and supplements may require publisher access. | No DOI found in PubMed metadata.
9294168	4			1997	Proceedings of the National Academy of Sciences of the United States of America	Engineering a tRNA and aminoacyl-tRNA synthetase for the site-specific incorporation of unnatural amino acids into proteins in vivo.	10.1073/pnas.94.19.10092	PMC23315	pmc_downloaded	https://pubmed.ncbi.nlm.nih.gov/9294168/	https://doi.org/10.1073/pnas.94.19.10092	field-curation-workdir/full_tRNAtherapeutics/papers/9294168/9294168_PMC23315.html	field-curation-workdir/full_tRNAtherapeutics/papers/9294168/9294168_PMC23315.xml		0	0	0	0	0	0	0	DOI landing page download failed: HTTP 403: Forbidden | No supplementary links were discovered automatically on the PMC page/XML.
9331409	13			1997	Chemistry & biology	Characterization of an 'orthogonal' suppressor tRNA derived from E. coli tRNA2(Gln).	10.1016/s1074-5521(97)90224-6		doi_landing_only	https://pubmed.ncbi.nlm.nih.gov/9331409/	https://doi.org/10.1016/s1074-5521(97)90224-6				0	0	0	0	0	0	0	No PMCID in PubMed metadata; full text and supplements may require publisher access.
9447966	5			1998	Molecular and cellular biology	Differential expression of individual suppressor tRNA(Trp) gene gene family members in vitro and in vivo in the nematode Caenorhabditis elegans.	10.1128/MCB.18.2.703	PMC108781	pmc_downloaded	https://pubmed.ncbi.nlm.nih.gov/9447966/	https://doi.org/10.1128/MCB.18.2.703	field-curation-workdir/full_tRNAtherapeutics/papers/9447966/9447966_PMC108781.html	field-curation-workdir/full_tRNAtherapeutics/papers/9447966/9447966_PMC108781.xml		0	0	0	0	0	0	0	DOI landing page download failed: HTTP 403: Forbidden | No supplementary links were discovered automatically on the PMC page/XML.
9465022	33			1998	Proceedings of the National Academy of Sciences of the United States of America	Amber suppression in Escherichia coli by unusual mitochondria-like transfer RNAs.	10.1073/pnas.95.4.1375	PMC19007	pmc_downloaded	https://pubmed.ncbi.nlm.nih.gov/9465022/	https://doi.org/10.1073/pnas.95.4.1375	field-curation-workdir/full_tRNAtherapeutics/papers/9465022/9465022_PMC19007.html	field-curation-workdir/full_tRNAtherapeutics/papers/9465022/9465022_PMC19007.xml		0	0	0	0	0	0	0	DOI landing page download failed: HTTP 403: Forbidden | No supplementary links were discovered automatically on the PMC page/XML.
10220370	2			1999	Proceedings of the National Academy of Sciences of the United States of America	Progress toward the evolution of an organism with an expanded genetic code.	10.1073/pnas.96.9.4780	PMC21768	pmc_downloaded	https://pubmed.ncbi.nlm.nih.gov/10220370/	https://doi.org/10.1073/pnas.96.9.4780	field-curation-workdir/full_tRNAtherapeutics/papers/10220370/10220370_PMC21768.html	field-curation-workdir/full_tRNAtherapeutics/papers/10220370/10220370_PMC21768.xml		0	0	0	0	0	0	0	DOI landing page download failed: HTTP 403: Forbidden | No supplementary links were discovered automatically on the PMC page/XML.
10498252	1			1999	Human gene therapy	Partial functional correction of xeroderma pigmentosum group A cells by suppressor tRNA.	10.1089/10430349950017194		manual_required	https://pubmed.ncbi.nlm.nih.gov/10498252/	https://doi.org/10.1089/10430349950017194				0	0	0	0	0	0	0	No PMCID in PubMed metadata; full text and supplements may require publisher access. | DOI landing page download failed: HTTP 403: Forbidden
11226228	2			2001	Proceedings of the National Academy of Sciences of the United States of America	Twenty-first aminoacyl-tRNA synthetase-suppressor tRNA pairs for possible use in site-specific incorporation of amino acid analogues into proteins in eukaryotes and in eubacteria.	10.1073/pnas.031488298	PMC30127	pmc_downloaded	https://pubmed.ncbi.nlm.nih.gov/11226228/	https://doi.org/10.1073/pnas.031488298	field-curation-workdir/full_tRNAtherapeutics/papers/11226228/11226228_PMC30127.html	field-curation-workdir/full_tRNAtherapeutics/papers/11226228/11226228_PMC30127.xml		0	0	0	0	0	0	0	DOI landing page download failed: HTTP 403: Forbidden | No supplementary links were discovered automatically on the PMC page/XML.
11564556	12			2001	Chemistry & biology	A general approach for the generation of orthogonal tRNAs.	10.1016/s1074-5521(01)00063-1		doi_landing_only	https://pubmed.ncbi.nlm.nih.gov/11564556/	https://doi.org/10.1016/s1074-5521(01)00063-1				0	0	0	0	0	0	0	No PMCID in PubMed metadata; full text and supplements may require publisher access.
11717406	3			2001	Proceedings of the National Academy of Sciences of the United States of America	Import of amber and ochre suppressor tRNAs into mammalian cells: a general approach to site-specific insertion of amino acid analogues into proteins.	10.1073/pnas.251438898	PMC64678	pmc_downloaded	https://pubmed.ncbi.nlm.nih.gov/11717406/	https://doi.org/10.1073/pnas.251438898	field-curation-workdir/full_tRNAtherapeutics/papers/11717406/11717406_PMC64678.html	field-curation-workdir/full_tRNAtherapeutics/papers/11717406/11717406_PMC64678.xml		0	0	0	0	0	0	0	DOI landing page download failed: HTTP 403: Forbidden | No supplementary links were discovered automatically on the PMC page/XML.
